stop_ids,stop_lat,stop_lon,stop_name
"['335073', '335074']",37.628685,-122.41651,El Camino Real & San Bruno Ave
"['341128', '341129']",37.542425,-122.30352500000001,El Camino Real & 27th Ave
['333509'],37.68449,-122.46536,Colma BART-Bay 9
"['336038', '336039']",37.603965,-122.394145,El Camino Real & Silva Ave
"['332060', '332061', '332132']",37.66549,-122.47465999999999,Callan Blvd & Hickey Blvd
['341159'],37.5674,-122.33054,El Camino Real & Tilton Ave
"['333010', '333011']",37.676275000000004,-122.45789500000001,El Camino Real & Serramonte Blvd
"['311150', '311151']",37.64943,-122.491105,Palmetto Ave & Manor Dr
['333015'],37.682535,-122.470576,Junipero Serra Blvd & Colma Park N Ride
"['334082', '334083']",37.666105,-122.45100500000001,El Camino Real & Hickey Blvd
"['344042', '344043', '344069', '344070']",37.48734949999999,-122.235669,Brewster Ave & El Camino Real
['335620'],37.615799,-122.390385,SFO Airport Terminal G-Lower Level
['344086'],37.47952,-122.22629,El Camino Real & Lincoln Ave
['341628'],37.541505,-122.303019,28th Ave & S El Camino Real
['344419'],37.48944,-122.22323,Veterans Blvd & Walnut St
"['311040', '311041', '311606']",37.59841666666667,-122.49833333333333,Crespi Dr & Roberts Rd
"['341136', '341137']",37.534465,-122.29463000000001,El Camino Real & 37th Ave
"['341123', '341149']",37.552275,-122.314175,El Camino Real & 17th Ave
['341059'],37.53957,-122.313244,Alameda de las Pulgas & Portola Dr
['315029'],37.46909,-122.42633,250 Hwy 92-Hilltop Mobile Home Park
['344418'],37.48797,-122.22818,Jefferson Ave & Marshall St
"['340050', '340051']",37.578599999999994,-122.356195,El Camino Real & Oak Grove Ave-Burlingame
['345023'],37.46107,-122.19834,El Camino Real & Winchester Dr
['332019'],37.70612,-122.46874,Daly City BART-Bay 3
"['341179', '341180']",37.570855,-122.313985,Hwy 101 & 3rd Ave
['341124'],37.54884,-122.31067,El Camino Real & 20th Ave
"['345012', '345013']",37.46421,-122.20437,El Camino Real & Almendral Ave
['341145'],37.56195,-122.32461,El Camino Real & E 5th Ave
"['346045', '346046']",37.45088,-122.17784,El Camino Real & Middle Ave
"['334074', '334075']",37.6703,-122.4531,El Camino Real & Arlington Dr
['344499'],37.48772,-122.20492,1933 E Bayshore Rd
['344028'],37.47985,-122.19419,Bay Rd & 10th Ave
"['335062', '335063']",37.625535,-122.414455,El Camino Real & Angus Ave W
['341621'],37.531804,-122.300636,225 37th Ave-San Mateo Medical Center
"['344031', '344032']",37.480575,-122.195855,Bay Rd & 8th Ave
"['335099', '335401', '335635', '335636']",37.63956974999999,-122.419045,Huntington Ave & Sneath Ln
['344504'],37.48558,-122.18352,3639 Haven Ave
"['340035', '340036', '341161']",37.57503666666667,-122.34765333333333,El Camino Real & Bellevue Ave
"['315034', '315605']",37.455505,-122.42991,Main St & Grove St
['341151'],37.56702,-122.33021,El Camino Real & El Cerrito Ave
"['341156', '341157']",37.56993,-122.335375,El Camino Real & Poplar Ave
['311157'],37.66052,-122.48948,Palmetto Ave & Paradise Dr
"['332170', '332171', '332227']",37.70512333333334,-122.46258666666667,John Daly Blvd & Mission St
['344498'],37.49049,-122.21122,1725 E Bayshore Rd
['341543'],37.53516,-122.29981,W Hillsdale Blvd & Edison St-Bay 8
"['336627', '336628']",37.6005765,-122.3897115,El Camino Real & Victoria Ave
['335503'],37.616762,-122.384261,SFO Airport Terminal 2-Lower Level
"['342049', '342050']",37.517305,-122.27222,El Camino Real & Harbor Blvd
['311078'],37.608746,-122.495026,Hwy 1 & Fassler Ave
['340052'],37.58031,-122.35914,El Camino Real & Palm Dr
"['331419', '331420']",37.78241,-122.40688499999999,Mission St & 5th St
['341627'],37.542463,-122.304127,27th Ave & S El Camino Real
['332114'],37.66761,-122.46857,Gellert Blvd & Serramonte Blvd
"['336036', '340049']",37.596684999999994,-122.385795,El Camino Real & Murchison Dr
['315030'],37.48023,-122.40592,12341 Hwy 92-La Nebbia Winery
"['341176', '341177']",37.53214,-122.303445,Hacienda St & 36th Ave
"['340043', '340055']",37.581860000000006,-122.362115,El Camino Real & Sanchez Ave
"['340032', '340033']",37.589335000000005,-122.375035,El Camino Real & Adeline Dr
['343061'],37.51133,-122.2658,El Camino Real & Hull Dr
['344439'],37.48968,-122.22285,Veterans Blvd & Maple St
['341121'],37.5563,-122.31837,El Camino Real & 12th Ave
['316603'],37.46005,-122.42984,741 Main St-Ides Hall
"['335075', '335076']",37.617779999999996,-122.40883,El Camino Real & San Felipe Ave
"['342052', '342053', '342097', '342098']",37.520185,-122.27639250000001,El Camino Real & Ralston Ave
"['344082', '344083']",37.489005,-122.238115,El Camino Real & Hopkins Ave
['315028'],37.4691,-122.4258,251 Hwy 92-Hilltop Mobile Home Park
['341135'],37.54013,-122.3009,El Camino Real & 31st Ave
"['311160', '311161']",37.635329999999996,-122.49207000000001,Palmetto Ave & Santa Maria Ave
['315024'],37.47817,-122.41409,Hwy 92 & Berta's Fruit Farm
['344636'],37.48582,-122.232053,Redwood City Caltrain-Lane B
"['363003', '363004']",37.471109999999996,-122.144175,Bay Rd & Palo Verde Ave
"['340046', '340047']",37.575810000000004,-122.34777500000001,El Camino Real & Howard Ave
"['335070', '335071', '335108', '335612']",37.62300925,-122.412316,El Camino Real & Jenevein Ave
"['333006', '333007']",37.67376,-122.45492,El Camino Real & Old Mission Rd
"['342044', '342045']",37.51411,-122.26856000000001,El Camino Real & 5th Ave-Belmont
['345016'],37.45992,-122.19601,El Camino Real & Isabella Ave
['311147'],37.63049,-122.49248,Palmetto Ave & Brighton Rd
"['340039', '340040']",37.576359999999994,-122.349915,El Camino Real & Burlingame Ave
"['335079', '335080']",37.63711000000001,-122.42149,El Camino Real & Sneath Ln
"['341130', '341132']",37.563959999999994,-122.32695000000001,El Camino Real & 2nd Ave
['344505'],37.48647,-122.1814,3719 Haven Ave
['315036'],37.46015,-122.42968,735 Main St-Ides Hall
['341040'],37.542353,-122.316487,Alameda de las Pulgas & 24th Ave
['332406'],37.70607,-122.4615,San Jose Ave & Bepler St
['336035'],37.61031,-122.40119,El Camino Real & Millwood Dr
['336034'],37.59955,-122.38822,El Camino Real & Linden Ave
"['334076', '334077']",37.65672,-122.43656,El Camino & Arroyo Dr
['341150'],37.57159,-122.33808,El Camino Real & Grand Blvd
['335162'],37.616627,-122.388191,SFO Airport Terminal 3-Lower Level
['340034'],37.58006,-122.35897,El Camino Real & Arc Way
['333511'],37.6848,-122.4658,Colma BART-Bay 11
['335631'],37.638953,-122.416925,San Bruno BART-Bay 8 Outer Busway
['341052'],37.542253,-122.316757,Alameda de las Pulgas & Alta Ave
['335078'],37.6138,-122.40465,El Camino Real & Santa Inez Ave
"['344607', '344648']",37.48255,-122.20106999999999,Bay Rd & 2nd Ave
