stop_ids,stop_lat,stop_lon,stop_name
['4759'],37.408668518,-121.944462951,TASMAN STATION (0)
['4813'],37.40277696,-122.009550654,FAIR OAKS STATION (0)
['4751'],37.352015873,-121.902434282,CIVIC CENTER STATION (0)
['5237'],37.40264405,-121.88106857,CROPLEY STATION (0)
['5249'],37.40894503,-121.89136533,MONTAGUE STATION (1)
['4786'],37.395283242,-122.077596229,MOUNTAIN VIEW STATION (1)
['4766'],37.381936947,-121.924755492,COMPONENT STATION (1)
['4745'],37.327764631,-121.893665023,CHILDRENS DISC. MUSEUM STA (0)
['5241'],37.37105676,-121.84403639,MCKEE STATION (0)
['4775'],37.32980922,-121.890538375,CONVENTION CENTER STATION (1)
['5376'],37.31048176,-121.91801691,FRUITDALE STATION (0)
"['3508', '3067', '3030', '3569']",37.3586273185,-121.84327972399998,JACKSON & ALUM ROCK
['5378'],37.29406405,-121.93616684,HAMILTON STATION (0)
['4780'],37.27390098,-121.862963786,CAPITOL STATION (1)
['4742'],37.29375248,-121.872621797,CURTNER STATION (0)
"['460', '2745', '392', '1316', '1', '5228', '5764']",37.352867339142854,-121.937035269,SANTA CLARA CALTRAIN STATION
['4740'],37.267295633,-121.859381404,BRANHAM STATION (0)
['4795'],37.403354291,-121.998254323,VIENNA STATION (1)
['4744'],37.31982806,-121.89010437,VIRGINIA STATION (0)
['5380'],37.27960951,-121.94790653,WINCHESTER STATION (0)
['4799'],37.407795216,-121.962924656,LICK MILL STATION (1)
['4752'],37.362544086,-121.910160014,GISH STATION (0)
['5385'],37.29369104,-121.93657642,HAMILTON STATION (1)
['5242'],37.35813414,-121.83212036,ALUM ROCK STATION (0)
['4807'],37.409422968,-121.952616364,CHAMPION STATION (0)
['4755'],37.383483389,-121.925777086,COMPONENT STATION (0)
['4730'],37.253943659,-121.866822711,OAKRIDGE STATION (0)
['5377'],37.29985056,-121.92983014,BASCOM STATION (0)
['4816'],37.409403535,-122.027132324,LOCKHEED MARTIN STATION (0)
['4772'],37.338358408,-121.890805169,ST JAMES STATION (1)
"['3607', '3679', '4036']",37.37549104133333,-121.836134672,WHITE & MCKEE
